Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9749955	23.7270729	-89	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749955	23.7270729	-92	2462	00:24:50:12:47:40	Crestron
37.9749955	23.7270729	-91	2432	20:89:86:03:68:38	HOL_ZTE_4
37.9749955	23.7270729	-94	2437	78:54:2e:f8:a4:48	nic
37.9749955	23.7270729	-96	2412	2a:a4:3c:a3:62:37	Le Bjur
Scan#: 9	ScanningTime: 3,70	#APsFound: 15	DB: 39.0	Date: Mon Jun 01 12:59:19 GMT+01:00 2015
37.9749773	23.727129	-73	2437	04:18:d6:e7:35:a3	Desconocido
37.9749773	23.727129	-86	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9749773	23.727129	-77	2437	00:1d:aa:c4:22:c0	Centrale
37.9749773	23.727129	-89	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749773	23.727129	-86	2442	4c:5e:0c:60:22:99	Intranet
37.9749773	23.727129	-86	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749773	23.727129	-86	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749773	23.727129	-80	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749773	23.727129	-85	2412	2a:a4:3c:df:01:a5	AforAthensRoof
37.9749773	23.727129	-91	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749773	23.727129	-95	2437	78:54:2e:f8:a4:48	nic
37.9749773	23.727129	-90	2412	2a:a4:3c:a3:62:37	Le Bjur
37.9749773	23.727129	-91	2452	cc:1a:fa:98:e4:b8	Deluxe_Wifi
37.9749773	23.727129	-98	2462	54:22:f8:d4:f1:24	HOL_ZTE_4
37.9749773	23.727129	-96	2412	04:18:d6:87:68:ec	City Zen Enter The WiFi
Scan#: 10	ScanningTime: 3,69	#APsFound: 12	DB: 40.0	Date: Mon Jun 01 12:59:23 GMT+01:00 2015
37.9749703	23.7271692	-76	2437	04:18:d6:e7:35:a3	Desconocido
37.9749703	23.7271692	-82	2437	00:1d:aa:c4:22:c0	Centrale
37.9749703	23.7271692	-84	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749703	23.7271692	-84	2442	4c:5e:0c:60:22:99	Intranet
37.9749703	23.7271692	-84	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749703	23.7271692	-88	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749703	23.7271692	-77	2437	00:de:fa:15:c0:01	TERINA CAFE
